subject,class_year,section,theme,subtheme,lesson_link,homework_link,subtheme_number,umit_id,section_id,theme_id,subtheme_id,speaker_id,course_id,mgmonth_id,subtheme_umits,hw_umits,hw_ids,les_id
baz,3,Планиметрия,Подобие треугольников,Подобие треугольников,https://umschool.net/lessons/access/0G0TjAL5z4yClOX377wFOqaXmfN0TjhQ4tvSqF3Xb3863rJxocuBtc8,,,"654,655,656,657,658",22,103,190,12,,"3550,3592,6777","654,655,656,657,658","654,656,657,658,697","244319,244324,244328,244334,244340",31079
baz,3,Планиметрия,Тригонометрия в геометрии,Тригонометрия в геометрии,https://umschool.net/lessons/access/YeSkajkUWFWAabda5qa0FN2sWrvnfcpaBxBM5fnNi2hgYo3yf67KM0U,,,"660,661",22,104,191,12,,"3550,3592,6777","660,661","502,607,615,629,651,661,1219","237711,237719,237744,237773,237785,237809,237826,237828,238192,238201,238210,238221,238230,238288,238303,238314,238319,238339,238359",31085
baz,3,Планиметрия,"Элементы и теоремы, связанные с окружностью","Элементы и теоремы, связанные с окружностью",https://umschool.net/lessons/access/UWlddSOxjSmlRr7RL4Gn51rfZCJEKSNkxeYki5E9jhAvEIYY6xJ8Eaj,,,"662,663,664,665,666,690",22,105,192,12,,"3550,3592,6777","662,663,664,665,666,690","606,607,608,615,616,618,619,625,638,663,664,665,671,1219","245728,245780,245827,245858,245868",31088
baz,3,Планиметрия,Вписанная и описанная окружность,Вписанная и описанная окружность,https://umschool.net/lessons/access/n6Y6e3XPd3NfQD3EQhYBENVyOvOKzO0Xj48Yx9xFVGSfWy5R4pnUEol,,,"671,672,689",22,106,193,12,,"3550,3592,6777","671,672,689","610,619,629,636,638,645,664,672,689","238331,238387,238391,238400",31072
baz,3,Планиметрия,Формулы площади через диагонали; через стороны и синус угла,Формулы площади через диагонали; через стороны и синус угла,https://umschool.net/lessons/access/F0DI7eZHBi2Gy8sGcYS6ea9hQsEIlbTechgJyfo6UMpjemQsdvArT2K,,,678,22,107,194,12,,"3550,3592,6777",678,"610,636,638,642,645,648,649,1219","242136,242197,242235,242279,242301,242312,242334,242340,242345,242348",31086
baz,3,Планиметрия,Теоремы синусов и косинусов,Теоремы синусов и косинусов,https://umschool.net/lessons/access/L4ljJX2K1rR0E2DGFpRoumLA2g6nLP8KicPCIg5R2lPiQlsoaToJogI,,,"679,68",22,108,195,12,,"3550,3592,6777",679,"60,502,518,521,530,615,616,625,679,680,1219","240647,240768,240780,240808,240832,240872",31082
baz,3,Планиметрия,Правильный шестиугольник,Правильный шестиугольник,https://umschool.net/lessons/access/spEb2W3I9rtkGU1wfQ98JP8DeUPCSPtnylxKEC9iBfADd8XZzGRsYF4,,,699,22,109,196,12,,"3550,3592,6777",699,"28,201,203,223,229,1520","235925,235957,235965,235977,235985,235997,236007,236031,236039",31081
baz,3,Стереометрия,Параллелепипед и куб. Основные факты из стереометрии,Параллелепипед и куб. Основные факты из стереометрии,https://umschool.net/lessons/access/BPJcUvMKXqzXIsjwCsYrsci6xM7KDTeig5KUaMIR0bt0zHDZUoiZORW,,,"807,810,813,814,817",23,110,197,12,,"3634,3676,6819","807,810,813,814,817","651,815,816,819,820,1206,1220,1221,1300","151196,151210,151212,151225,151229",48516
baz,3,Стереометрия,Основные сведения из стереометрии. Объём любого тела,Основные сведения из стереометрии. Объём любого тела,https://umschool.net/lessons/access/4mObQv9AQXSCiCB83N7LxIIsZIdYaVXoWeJRpJa3n9I77gQj2LoZ0h6,,,"811,815,819,825,830,838,844",23,111,198,12,,"3634,3676,6819","811,815,819,825,830,838,844","813,835,836,838,854,862,863,1220","149534,149540,157051",48515
baz,3,Стереометрия,Площадь поверхности многогранников,Площадь поверхности многогранников,https://umschool.net/lessons/access/6qErGfxd8DrOn9OXQyk9DQi3gncbq2uxHiGFUGvawacOx0lKKdbncSI,,,"816,826,831",23,112,199,12,,"3634,3676,6819","816,826,831","629,641,647,651,813,816,817,819,820,831,833,853,1220,1221","257716,257717,257720,257721,257722,257723,257724,257725,257726,257727",48518
baz,3,Стереометрия,Площадь поверхности и объём прямоугольного параллелепипеда,Площадь поверхности и объём прямоугольного параллелепипеда,https://umschool.net/lessons/access/S5TvFo22hk6SN6NkQdhIYE9ZBvnxyLW1qRutu9XfNED4G484dpVwyQO,,,"818,82",23,113,200,12,,"3634,3676,6819",818,"610,629,651,817,819,820","258092,258099,258105,258108,258114,258121,258124,258126,258130,258134",48517
baz,3,Стереометрия,Призма,Призма,https://umschool.net/lessons/access/BzQpPS7T3gnQBZyraFcoJtBDNII0bf7o9wZ8nCXK2YJlGIUZJLHoPjm,,,"821,822,823,824",23,114,201,12,,"3634,3676,6819","821,822,823,824","651,821,822,825,826,1220,1221","152741,152744,154608",40599
baz,3,Стереометрия,Пирамида,Пирамида,https://umschool.net/lessons/access/wZNcSrLamM8e15ejjqTbmz5msbLe4PizX7aALh2q6FVnWcrLdKftdJV,,,"827,828,829,832,833",23,115,202,12,,"3634,3676,6819","827,828,829,832,833","615,616,629,643,649,651,813,814,815,827,828,830,831,832,833,862,863,864,1220,1221","257651,257652,257653,257655,257656,257657,257658,257659,257660,257661",40592
baz,3,Стереометрия,"Цилиндр, конус, шар","Цилиндр, конус, шар",https://umschool.net/lessons/access/jBbBoFWm85QQQENgb6PWXUlOHsfDuxkZYXmhppf7LYC2cAw2KT5KhBE,,,"835,836,837,839,841,842,843,845,846,847,848,849",23,116,203,12,,"3634,3676,6819","835,836,837,839,841,842,843,845,846,847,848,849","3,836,839,842,844,845,847,1220,1300","154952,154964,155017,155022,155029,155056",40621
baz,3,Стереометрия,Составные многогранники. Объём и площадь поверхности,Составные многогранники. Объём и площадь поверхности,https://umschool.net/lessons/access/i6cizoAuQrSSP9bgx3s73FnFAWAVKNYqpB8mZyUQjtIA3PrgiChEZbU,,,853,23,117,204,12,,"3634,3676,6819",853,"815,819,820,853,1220","149503,149511,149513",40605
baz,3,Стереометрия,Сечения,Сечения,https://umschool.net/lessons/access/zhK6kmFsuJWhxTJGZ4REV4eMUmUDFieFfXyd1GRNsd5JYbFK5BFYfa3,,,854,23,118,205,12,,"3634,3676,6819",854,"813,821,822,827,832,833,853,854,1220","149504,149505,149506",40602
